,epoch,tag,variable,value,training_time,sem_variant
6402,31.0,april_17_always_s1030_1E-01_5E+05,bi,0.3948153025268339,318.0342232839506,full
6413,21.0,april_17_always_s1030_1E-01_5E+05,bi,0.4035238982104202,217.90897308641976,full
6424,81.0,april_17_always_s1030_1E-01_5E+05,bi,0.3987914441455503,826.7978039259258,full
6435,51.0,april_17_always_s1030_1E-01_5E+05,bi,0.3938438858808983,515.8589974320988,full
6446,91.0,april_17_always_s1030_1E-01_5E+05,bi,0.4096085064404527,923.0986329506175,full
6457,101.0,april_17_always_s1030_1E-01_5E+05,bi,0.4114839220964951,1033.6255435555556,full
6468,61.0,april_17_always_s1030_1E-01_5E+05,bi,0.4236517287659353,625.3894313086419,full
6479,1.0,april_17_always_s1030_1E-01_5E+05,bi,0.3806922420720559,9.992520481481481,full
6490,41.0,april_17_always_s1030_1E-01_5E+05,bi,0.4147787402863019,419.91400145679006,full
6501,11.0,april_17_always_s1030_1E-01_5E+05,bi,0.3860608258093307,114.45198767901233,full
6512,1.0,april_17_always_s1110_1E-01_5E+05,bi,0.4000125961346635,9.992520481481481,full
6523,81.0,april_17_always_s1110_1E-01_5E+05,bi,0.4035547484552608,826.7978039259258,full
6534,41.0,april_17_always_s1110_1E-01_5E+05,bi,0.4028885950429706,419.91400145679006,full
6545,91.0,april_17_always_s1110_1E-01_5E+05,bi,0.3893719435482618,923.0986329506175,full
6556,71.0,april_17_always_s1110_1E-01_5E+05,bi,0.3721158015050591,725.8009111234568,full
6567,21.0,april_17_always_s1110_1E-01_5E+05,bi,0.4244058619287248,217.90897308641976,full
6578,31.0,april_17_always_s1110_1E-01_5E+05,bi,0.3927810900620207,318.0342232839506,full
6589,11.0,april_17_always_s1110_1E-01_5E+05,bi,0.4144196658997187,114.45198767901233,full
6600,51.0,april_17_always_s1110_1E-01_5E+05,bi,0.375811007445587,515.8589974320988,full
6611,61.0,april_17_always_s1110_1E-01_5E+05,bi,0.3955058874517696,625.3894313086419,full
6622,101.0,april_17_always_s1110_1E-01_5E+05,bi,0.3963302520882676,1033.6255435555556,full
6633,101.0,april_17_always_s1100_1E-01_5E+05,bi,0.4033604249704669,1033.6255435555556,full
